"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "Vue", "XML", "Markdown", "comment", "blank", "total"
"c:\laragon\www\archivage-app\public\assets\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 5, 1, 7
"c:\laragon\www\archivage-app\public\assets\fonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 0, 3531, 0, 4, 1, 3536
"c:\laragon\www\archivage-app\public\assets\fonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 0, 799, 0, 4, 1, 804
"c:\laragon\www\archivage-app\public\assets\fonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 0, 4696, 0, 4, 1, 4701
"c:\laragon\www\archivage-app\public\assets\fonts\fontawesome-all.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\archivage-app\public\assets\js\theme.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 5, 18, 77
"c:\laragon\www\archivage-app\public\bootstrap.min.css", "CSS", 0, 2, 0, 0, 0, 0, 0, 4, 1, 7
"c:\laragon\www\archivage-app\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\laragon\www\archivage-app\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\laragon\www\archivage-app\resources\js\Pages\AddAgents.vue", "Vue", 0, 0, 0, 0, 232, 0, 0, 0, 6, 238
"c:\laragon\www\archivage-app\resources\js\Pages\Agents.vue", "Vue", 0, 0, 0, 0, 253, 0, 0, 1, 4, 258
"c:\laragon\www\archivage-app\resources\js\Pages\Apropos.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 0, 2, 61
"c:\laragon\www\archivage-app\resources\js\Pages\Archivage.vue", "Vue", 0, 0, 0, 0, 206, 0, 0, 4, 2, 212
"c:\laragon\www\archivage-app\resources\js\Pages\Auth\ForgotPassword.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 33, 5, 97
"c:\laragon\www\archivage-app\resources\js\Pages\Auth\Login.vue", "Vue", 0, 0, 0, 0, 130, 0, 0, 8, 4, 142
"c:\laragon\www\archivage-app\resources\js\Pages\Auth\ResetPassword.vue", "Vue", 0, 0, 0, 0, 70, 0, 0, 38, 7, 115
"c:\laragon\www\archivage-app\resources\js\Pages\Blank.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 1, 5, 57
"c:\laragon\www\archivage-app\resources\js\Pages\Classeur.vue", "Vue", 0, 0, 0, 0, 202, 0, 0, 0, 3, 205
"c:\laragon\www\archivage-app\resources\js\Pages\Components\add-members.vue", "Vue", 0, 0, 0, 0, 124, 0, 0, 0, 3, 127
"c:\laragon\www\archivage-app\resources\js\Pages\Components\add-service-modal.vue", "Vue", 0, 0, 0, 0, 94, 0, 0, 0, 3, 97
"c:\laragon\www\archivage-app\resources\js\Pages\Components\bread-crumbs.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"c:\laragon\www\archivage-app\resources\js\Pages\Components\classeur-component.vue", "Vue", 0, 0, 0, 0, 137, 0, 0, 0, 3, 140
"c:\laragon\www\archivage-app\resources\js\Pages\Components\delete-modal.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\laragon\www\archivage-app\resources\js\Pages\Components\delete-multiple-modal.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\laragon\www\archivage-app\resources\js\Pages\Components\delete-service-modal.vue", "Vue", 0, 0, 0, 0, 64, 0, 0, 0, 2, 66
"c:\laragon\www\archivage-app\resources\js\Pages\Components\document-component.vue", "Vue", 0, 0, 0, 0, 126, 0, 0, 2, 3, 131
"c:\laragon\www\archivage-app\resources\js\Pages\Components\footer.vue", "Vue", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\laragon\www\archivage-app\resources\js\Pages\Components\my-buttons.vue", "Vue", 0, 0, 0, 0, 80, 0, 0, 2, 4, 86
"c:\laragon\www\archivage-app\resources\js\Pages\Components\nav-bar-top.vue", "Vue", 0, 0, 0, 0, 91, 0, 0, 0, 3, 94
"c:\laragon\www\archivage-app\resources\js\Pages\Components\nav-bar.vue", "Vue", 0, 0, 0, 0, 141, 0, 0, 7, 2, 150
"c:\laragon\www\archivage-app\resources\js\Pages\Components\pagination.vue", "Vue", 0, 0, 0, 0, 39, 0, 0, 0, 3, 42
"c:\laragon\www\archivage-app\resources\js\Pages\Components\properties-modal-classeur.vue", "Vue", 0, 0, 0, 0, 102, 0, 0, 0, 3, 105
"c:\laragon\www\archivage-app\resources\js\Pages\Components\properties-modal.vue", "Vue", 0, 0, 0, 0, 125, 0, 0, 0, 3, 128
"c:\laragon\www\archivage-app\resources\js\Pages\Components\remove-members.vue", "Vue", 0, 0, 0, 0, 122, 0, 0, 0, 3, 125
"c:\laragon\www\archivage-app\resources\js\Pages\Components\reset-modal.vue", "Vue", 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\laragon\www\archivage-app\resources\js\Pages\Components\search-bar-agents.vue", "Vue", 0, 0, 0, 0, 78, 0, 0, 1, 2, 81
"c:\laragon\www\archivage-app\resources\js\Pages\Components\search-bar.vue", "Vue", 0, 0, 0, 0, 89, 0, 0, 1, 2, 92
"c:\laragon\www\archivage-app\resources\js\Pages\Components\service-modal.vue", "Vue", 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"c:\laragon\www\archivage-app\resources\js\Pages\Components\share-modal.vue", "Vue", 0, 0, 0, 0, 304, 0, 0, 1, 3, 308
"c:\laragon\www\archivage-app\resources\js\Pages\Components\top-page.vue", "Vue", 0, 0, 0, 0, 6, 0, 0, 1, 0, 7
"c:\laragon\www\archivage-app\resources\js\Pages\Components\update-documents-classeur.vue", "Vue", 0, 0, 0, 0, 120, 0, 0, 0, 4, 124
"c:\laragon\www\archivage-app\resources\js\Pages\Components\update-documents.vue", "Vue", 0, 0, 0, 0, 143, 0, 0, 0, 3, 146
